review_id,product_id,customer_id,rating,review_text,review_date
1,16,1516,4,"Customer service was excellent, product too.",3/3/2024
2,1516,1516,4,"Customer service was excellent, product too.",1/8/2024
3,1566,9066,1,Basic functionality but reliable.,3/23/2024
4,66,9066,1,Basic functionality but reliable.,3/25/2024
5,1522,1522,3,Better than similar products I have tried.,3/3/2024
6,22,1522,3,Better than similar products I have tried.,9/23/2024
7,1508,3008,2,"Fantastic, exactly what I needed.",5/3/2024
8,8,3008,2,"Fantastic, exactly what I needed.",2/27/2024
9,1560,60,1,Definitely recommend to others.,12/13/2023
10,60,60,1,Definitely recommend to others.,11/4/2024
11,12,7512,4,Could be better for the price point.,1/16/2024
12,1512,7512,4,Could be better for the price point.,11/13/2024
13,1521,21,2,Exactly what I was looking for.,6/24/2024
14,21,21,2,Exactly what I was looking for.,7/12/2024
15,10,7510,2,Very impressed with the build quality.,1/19/2024
16,1510,7510,2,Very impressed with the build quality.,12/30/2023
17,31,1531,2,"Not as described, slightly disappointed.",11/11/2024
18,1531,1531,2,"Not as described, slightly disappointed.",4/28/2024
19,37,4537,5,"Does the basics well, nothing fancy.",6/8/2024
20,1537,4537,5,"Does the basics well, nothing fancy.",12/28/2023
21,1550,7550,3,Outstanding quality and design.,10/16/2024
22,50,7550,3,Outstanding quality and design.,3/18/2024
23,75,1575,5,Could use some improvements.,7/5/2024
24,1575,1575,5,Could use some improvements.,4/20/2024
25,1522,9022,3,Better than similar products I have tried.,2/29/2024
26,22,9022,3,Better than similar products I have tried.,1/4/2024
27,25,1525,1,Decent product but overpriced.,12/20/2023
28,1525,1525,1,Decent product but overpriced.,12/11/2023
29,1530,7530,3,Absolutely love this product!,12/4/2023
30,30,7530,3,Absolutely love this product!,1/22/2024
31,1550,9050,3,Outstanding quality and design.,8/30/2024
32,50,9050,3,Outstanding quality and design.,11/6/2024
33,72,72,5,Really impressed with the quality.,10/5/2024
34,1572,72,5,Really impressed with the quality.,11/9/2024
35,1556,9056,1,Love the design and functionality.,5/11/2024
36,56,9056,1,Love the design and functionality.,5/30/2024
37,25,9025,1,Decent product but overpriced.,2/13/2024
38,1525,9025,1,Decent product but overpriced.,5/31/2024
39,1521,1521,2,Exactly what I was looking for.,11/2/2024
40,21,1521,2,Exactly what I was looking for.,11/11/2024
41,1520,7520,3,"Not worth the money, save your cash.",12/27/2023
42,20,7520,3,"Not worth the money, save your cash.",4/19/2024
